source,target,weight,type
n3205,n3368,1,MAJ
n3205,n3379,1,MAJ
n3205,n3438,1,MAJ
n3205,n3516,1,MAJ
n3205,n3602,1,MAJ
n3205,n3716,1,MAJ
n3205,n3723,1,MAJ
n3205,n3735,1,MAJ
n3205,n3844,1,MAJ
n3205,n4021,1,MAJ
n3205,n4086,1,MAJ
n3205,n4146,1,MAJ
n3205,n4217,1,MAJ
n3205,n4239,1,MAJ
n3205,n4318,1,MAJ
n3205,n4475,1,MAJ
n3205,n4648,1,MAJ
n3221,n3235,1,MAJ
n3221,n3737,1,MAJ
n3221,n3878,1,MAJ
n3221,n4439,1,MAJ
n3235,n3737,1,MAJ
n3235,n3878,1,MAJ
n3235,n4439,1,MAJ
n3243,n3321,1,MAJ
n3243,n3579,1,MAJ
n3247,n3249,1,MAJ
n3247,n3368,1,MAJ
n3247,n3379,1,MAJ
n3247,n3438,1,MAJ
n3247,n3478,1,MAJ
n3247,n3516,1,MAJ
n3247,n3575,1,MAJ
n3247,n3602,1,MAJ
n3247,n3716,1,MAJ
n3247,n3723,1,MAJ
n3247,n3735,1,MAJ
n3247,n3844,1,MAJ
n3247,n4021,1,MAJ
n3247,n4086,1,MAJ
n3247,n4146,1,MAJ
n3247,n4217,1,MAJ
n3247,n4239,1,MAJ
n3247,n4318,1,MAJ
n3247,n4475,1,MAJ
n3247,n4648,1,MAJ
n3249,n3368,1,MAJ
n3249,n3379,1,MAJ
n3249,n3438,1,MAJ
n3249,n3496,1,UNIT
n3249,n3516,1,MAJ
n3249,n3602,1,MAJ
n3249,n3716,1,MAJ
n3249,n3723,1,MAJ
n3249,n3735,1,MAJ
n3249,n3844,1,MAJ
n3249,n4021,1,MAJ
n3249,n4086,1,MAJ
n3249,n4146,1,MAJ
n3249,n4217,1,MAJ
n3249,n4239,1,MAJ
n3249,n4318,1,MAJ
n3249,n4475,1,MAJ
n3249,n4648,1,MAJ
n3259,n3403,1,MAJ
n3259,n3472,1,MAJ
n3259,n3493,1,MAJ
n3259,n3695,1,MAJ
n3259,n3696,1,MAJ
n3259,n3701,1,MAJ
n3259,n3731,1,MAJ
n3259,n3741,1,MAJ
n3259,n3742,1,MAJ
n3259,n3807,1,MAJ
n3259,n3870,1,MAJ
n3259,n3961,1,MAJ
n3259,n4046,1,MAJ
n3259,n4159,1,MAJ
n3259,n4339,1,MAJ
n3259,n4397,1,MAJ
n3259,n4430,1,MAJ
n3259,n4549,1,MAJ
n3266,n3293,1,MAJ
n3266,n3303,1,MAJ
n3266,n4201,1,MAJ
n3271,n4571,1,MAJ
n3275,n3555,1,MAJ
n3278,n3432,1,MAJ
n3278,n3475,1,MAJ
n3278,n3499,1,MAJ
n3278,n3559,1,MAJ
n3278,n3713,1,MAJ
n3278,n3807,1,UNIT
n3281,n3325,1,MAJ
n3281,n3358,1,MAJ
n3281,n3713,1,UNIT
n3291,n3447,1,MAJ
n3291,n3450,1,MAJ
n3291,n3498,1,MAJ
n3291,n3669,1,MAJ
n3291,n3838,1,MAJ
n3293,n3303,1,MAJ
n3293,n4201,1,MAJ
n3296,n3383,1,MAJ
n3296,n3467,1,MAJ
n3296,n3496,1,MAJ
n3296,n3711,1,MAJ
n3296,n3893,1,MAJ
n3296,n4174,1,MAJ
n3303,n4201,1,MAJ
n3321,n3579,1,MAJ
n3325,n3358,1,MAJ
n3327,n3335,1,MAJ
n3327,n3501,1,MAJ
n3327,n3725,1,MAJ
n3327,n3732,1,MAJ
n3327,n3733,1,MAJ
n3327,n4419,1,MAJ
n3327,n4603,1,MAJ
n3335,n3501,1,MAJ
n3335,n3725,1,MAJ
n3335,n3732,1,MAJ
n3335,n3733,1,MAJ
n3335,n4419,1,MAJ
n3335,n4603,1,MAJ
n3349,n3364,1,MAJ
n3349,n3457,1,MAJ
n3349,n3930,1,MAJ
n3349,n4105,1,MAJ
n3349,n4681,1,MAJ
n3364,n3457,1,MAJ
n3364,n3930,1,MAJ
n3364,n3996,1,MAJ
n3364,n4105,1,MAJ
n3364,n4233,1,MAJ
n3364,n4681,1,MAJ
n3368,n3379,1,MAJ
n3368,n3438,1,MAJ
n3368,n3516,1,MAJ
n3368,n3602,1,MAJ
n3368,n3716,1,MAJ
n3368,n3723,1,MAJ
n3368,n3735,1,MAJ
n3368,n3844,1,MAJ
n3368,n4021,1,MAJ
n3368,n4086,1,MAJ
n3368,n4146,1,MAJ
n3368,n4217,1,MAJ
n3368,n4239,1,MAJ
n3368,n4318,1,MAJ
n3368,n4475,1,MAJ
n3368,n4648,1,MAJ
n3379,n3438,1,MAJ
n3379,n3516,1,MAJ
n3379,n3602,1,MAJ
n3379,n3716,1,MAJ
n3379,n3723,1,MAJ
n3379,n3735,1,MAJ
n3379,n3844,1,MAJ
n3379,n3893,1,UNIT
n3379,n4021,1,MAJ
n3379,n4086,1,MAJ
n3379,n4095,1,UNIT
n3379,n4146,1,MAJ
n3379,n4159,1,UNIT
n3379,n4217,1,MAJ
n3379,n4239,1,MAJ
n3379,n4318,2,BOTH
n3379,n4475,1,MAJ
n3379,n4648,1,MAJ
n3383,n3467,1,MAJ
n3383,n3496,1,MAJ
n3383,n3711,1,MAJ
n3383,n3893,1,MAJ
n3383,n4174,1,MAJ
n3393,n3421,1,MAJ
n3393,n3516,1,MAJ
n3393,n3559,1,UNIT
n3393,n3647,2,BOTH
n3393,n3904,1,MAJ
n3393,n3953,2,BOTH
n3393,n4046,1,UNIT
n3393,n4431,1,UNIT
n3393,n4640,1,MAJ
n3403,n3438,1,UNIT
n3403,n3472,1,MAJ
n3403,n3493,1,MAJ
n3403,n3695,1,MAJ
n3403,n3696,1,MAJ
n3403,n3701,1,MAJ
n3403,n3723,1,UNIT
n3403,n3731,1,MAJ
n3403,n3741,1,MAJ
n3403,n3742,1,MAJ
n3403,n3807,1,MAJ
n3403,n3870,1,MAJ
n3403,n3961,1,MAJ
n3403,n4046,1,MAJ
n3403,n4159,1,MAJ
n3403,n4339,2,BOTH
n3403,n4397,1,MAJ
n3403,n4430,1,MAJ
n3403,n4549,1,MAJ
n3421,n3477,1,MAJ
n3421,n3488,1,MAJ
n3421,n3516,1,MAJ
n3421,n3571,1,MAJ
n3421,n3575,1,MAJ
n3421,n3647,1,MAJ
n3421,n3904,1,MAJ
n3421,n3953,1,MAJ
n3421,n4588,1,MAJ
n3421,n4640,1,MAJ
n3432,n3475,1,MAJ
n3432,n3499,1,MAJ
n3432,n3559,1,MAJ
n3432,n3713,1,MAJ
n3438,n3516,1,MAJ
n3438,n3602,1,MAJ
n3438,n3716,1,MAJ
n3438,n3723,2,BOTH
n3438,n3735,1,MAJ
n3438,n3844,1,MAJ
n3438,n4021,1,MAJ
n3438,n4086,1,MAJ
n3438,n4146,1,MAJ
n3438,n4217,1,MAJ
n3438,n4239,1,MAJ
n3438,n4318,1,MAJ
n3438,n4339,1,UNIT
